n,theta,r,t,toughness_cid1,toughness_cid2,toughness_cid3,toughness_mean,toughness_median,toughness_std
6,0,1.5,0.7,1.14466667,1.276972545,0.984718805,1.1354526733333332,1.14466667,0.14634457775034548
6,0,1.5,1.05,1.60756105,1.40763682,1.204278305,1.4064920583333331,1.40763682,0.2016438096325767
6,0,1.5,1.4,1.144337785,1.22198518,1.66416987,1.3434976116666668,1.22198518,0.2804109527747117
6,0,1.7,0.7,3.64273758,2.57058053,3.09425671,3.10252494,3.09425671,0.5361263448914586
6,0,1.7,1.05,3.748405035,2.907952235,2.933434265,3.196597178333333,2.933434265,0.47804943936012073
6,0,1.7,1.4,2.661723075,2.61173793,2.328659075,2.5340400266666667,2.61173793,0.17961244433723675
6,0,1.9,0.7,5.62889179,3.623287735,3.576849065,4.276342863333333,3.623287735,1.171571844484241
6,0,1.9,1.05,6.545940435,4.861726245,2.966058095,4.791241591666666,4.861726245,1.7909817019801204
6,0,1.9,1.4,5.13711498,4.685755775,6.652394795,5.491755183333333,5.13711498,1.0301672262850687
6,0,2.1,0.7,6.113001335,17.24322518,17.42102897,13.592418494999999,17.24322518,6.477975326976125
6,0,2.1,1.05,7.63448638,9.14252845,6.771103375,7.849372734999999,7.63448638,1.2002276162289296
6,0,2.1,1.4,2.06551135,7.22210682,7.735849185,5.674489118333334,7.22210682,3.1360043373123916
6,0,2.3,0.7,22.63629481,21.77185393,5.017847775,16.47533217166667,21.77185393,9.931881797204841
6,0,2.3,1.05,11.98794863,23.58202299,32.23955734,22.60317632,23.58202299,10.161226276304673
6,0,2.3,1.4,2.18745377,1.90549201,2.02903116,2.04065898,2.02903116,0.14134006216936051
6,0,2.5,0.7,27.27353061,24.97148829,30.26843881,27.504485903333336,27.27353061,2.656017029966314
6,0,2.5,1.05,27.71493771,30.27901031,11.31234055,23.10209619,27.71493771,10.290401868377229
6,0,2.5,1.4,1.724510655,1.921319615,36.25217858,13.299336283333332,1.921319615,19.877988091439782
6,25,1.6,0.7,1.321202445,1.45386602,2.09663152,1.6238999949999997,1.45386602,0.4147363344096636
6,25,1.6,1.05,1.901228995,1.67985751,1.83385039,1.804978965,1.83385039,0.11347467990227729
6,25,1.6,1.4,1.464165225,2.359961675,1.696675845,1.8402675816666667,1.696675845,0.46484057491505915
6,25,1.8,0.7,2.77622403,2.30229922,1.504651125,2.1943914583333335,2.30229922,0.6426176755688153
6,25,1.8,1.05,2.725128695,3.318807365,4.24364418,3.4291934133333335,3.318807365,0.7652523304741929
6,25,1.8,1.4,3.181724645,2.73639597,2.45040998,2.7895101983333332,2.73639597,0.3685391780389159
6,25,2.0,0.7,4.561826505,4.76432071,3.88626849,4.404138568333333,4.561826505,0.45977498767263864
6,25,2.0,1.05,4.80682388,4.69724476,2.940354025,4.148140888333333,4.69724476,1.0474080992217993
6,25,2.0,1.4,5.21743359,5.22735781,6.44899864,5.631263346666667,5.22735781,0.7081969217723746
6,25,2.2,0.7,5.9481448,7.4399274,12.36841071,8.585494303333332,7.4399274,3.35993991557685
6,25,2.2,1.05,10.57081004,11.05566429,7.9235667,9.850013676666668,10.57081004,1.6858734757884024
6,25,2.2,1.4,7.91761853,8.14951516,4.150184395,6.739106028333333,7.91761853,2.24506802333634
6,25,2.4,0.7,9.40534553,14.67360446,18.73687729,14.271942426666664,14.67360446,4.678714624631243
6,25,2.4,1.05,25.05585347,14.64715217,11.42302692,17.042010853333334,14.64715217,7.124956211826779
6,25,2.4,1.4,2.401968915,24.38383386,2.25998876,9.681930511666666,2.401968915,12.732419689081278
6,50,1.5,0.7,0.911408525,0.581434425,0.503617945,0.665486965,0.581434425,0.2164992179997951
